0  14  2.53320e+06  0.00000e+00  1.39508e+02 -1.00000e+04  0.00000e+00 -9.31017e+03
1  11  7.66032e+01  0.00000e+00 -4.38319e+03 -4.39881e+03  1.23412e+03  2.99767e+07
2  10  5.56809e+01  0.00000e+00 -4.38345e+03 -4.39848e+03  1.23409e+03  5.99560e+07
3  10  5.26404e+01  0.00000e+00 -4.38443e+03 -4.39690e+03  1.23412e+03  8.99353e+07
4  11  6.86530e+01  0.00000e+00 -4.38385e+03 -4.39960e+03  1.23416e+03  1.19915e+08
5  11  5.89118e+01  0.00000e+00 -4.38221e+03 -4.39813e+03  1.23411e+03  1.49894e+08
6  10  2.43961e+01  0.00000e+00 -4.38195e+03 -4.38829e+03  1.28106e+03  1.79873e+08
7  11  6.53212e+01  0.00000e+00 -4.38095e+03 -4.39111e+03  1.25958e+03  2.09852e+08
8  10  5.64828e+01  0.00000e+00 -4.38294e+03 -4.39807e+03  1.23411e+03  2.39832e+08
9  11  6.15829e+01  0.00000e+00 -4.38332e+03 -4.39848e+03  1.23411e+03  2.69811e+08
10  10  4.32832e+01  0.00000e+00 -4.38306e+03 -4.39839e+03  1.23410e+03  2.99790e+08
11  11  8.55224e+01  0.00000e+00 -4.38297e+03 -4.39928e+03  1.23408e+03  3.29769e+08
12  12  8.21157e+01  0.00000e+00 -4.38362e+03 -4.39915e+03  1.23415e+03  3.59749e+08
13   9  3.69096e+01  0.00000e+00 -4.38316e+03 -4.39921e+03  1.23411e+03  3.89728e+08
14  11  9.73984e+01  0.00000e+00 -4.38437e+03 -4.39748e+03  1.23410e+03  4.19707e+08
15   9  3.35730e+01  0.00000e+00 -4.38368e+03 -4.39786e+03  1.23416e+03  4.49686e+08
16  10  6.00547e+01  0.00000e+00 -4.38239e+03 -4.39828e+03  1.23411e+03  4.79666e+08
17   7  1.86912e+01  0.00000e+00 -4.38483e+03 -4.39513e+03  1.11857e+03  5.09645e+08
18  12  9.33127e+01  0.00000e+00 -4.38259e+03 -4.39924e+03  1.23413e+03  5.39624e+08
19  11  8.22010e+01  0.00000e+00 -4.38236e+03 -4.39953e+03  1.23412e+03  5.69603e+08
20  11  5.43650e+01  0.00000e+00 -4.38281e+03 -4.39864e+03  1.23412e+03  5.99583e+08
21   8  2.93505e+01  0.00000e+00 -4.38401e+03 -4.39761e+03  1.23412e+03  6.29562e+08
22  12  7.97036e+01  0.00000e+00 -4.38213e+03 -4.39967e+03  1.23412e+03  6.59541e+08
23   9  1.83947e+01  0.00000e+00 -4.38636e+03 -4.39671e+03  1.13186e+03  6.89520e+08
24  10  6.91797e+01  0.00000e+00 -4.38277e+03 -4.39843e+03  1.23411e+03  7.19500e+08
25  11  8.81707e+01  0.00000e+00 -4.38310e+03 -4.39894e+03  1.23413e+03  7.49479e+08
26  10  7.49551e+01  0.00000e+00 -4.38034e+03 -4.39166e+03  1.27585e+03  7.79458e+08
27  11  6.52963e+01  0.00000e+00 -4.38362e+03 -4.39750e+03  1.23411e+03  8.09437e+08
28  10  8.91847e+01  0.00000e+00 -4.38343e+03 -4.39887e+03  1.23415e+03  8.39417e+08
29  11  7.26768e+01  0.00000e+00 -4.38091e+03 -4.39304e+03  1.28124e+03  8.69396e+08
30  13  8.67928e+01  0.00000e+00 -4.38387e+03 -4.39888e+03  1.23412e+03  8.99375e+08
31  11  5.21348e+01  0.00000e+00 -4.38344e+03 -4.39965e+03  1.23414e+03  9.29354e+08
32   8  2.24120e+01  0.00000e+00 -4.38366e+03 -4.38594e+03  1.28558e+03  9.59334e+08
33  12  8.36793e+01  0.00000e+00 -4.38446e+03 -4.39790e+03  1.23413e+03  9.89313e+08
34  12  4.36422e+01  0.00000e+00 -4.38405e+03 -4.39904e+03  1.23416e+03  1.01929e+09
35   9  2.57753e+01  0.00000e+00 -4.37893e+03 -4.38611e+03  1.29634e+03  1.04927e+09
36  10  3.05717e+01  0.00000e+00 -4.38469e+03 -4.39835e+03  1.23450e+03  1.07925e+09
37  13  1.10665e+02  0.00000e+00 -4.38398e+03 -4.39787e+03  1.23417e+03  1.10923e+09
38  10  6.31636e+01  0.00000e+00 -4.38382e+03 -4.39691e+03  1.23414e+03  1.13921e+09
39   9  6.28279e+01  0.00000e+00 -4.38205e+03 -4.39890e+03  1.23416e+03  1.16919e+09
40  11  9.59186e+01  0.00000e+00 -4.38301e+03 -4.39969e+03  1.23413e+03  1.19917e+09
41  12  7.92644e+01  0.00000e+00 -4.38411e+03 -4.39899e+03  1.23419e+03  1.22915e+09
42  12  1.05516e+02  0.00000e+00 -4.38231e+03 -4.39953e+03  1.23415e+03  1.25913e+09
43  11  9.98865e+01  0.00000e+00 -4.38401e+03 -4.39756e+03  1.23418e+03  1.28911e+09
44  11  5.88387e+01  0.00000e+00 -4.38361e+03 -4.39817e+03  1.23415e+03  1.31908e+09
45  10  5.18109e+01  0.00000e+00 -4.38341e+03 -4.39775e+03  1.23420e+03  1.34906e+09
46  13  7.73969e+01  0.00000e+00 -4.38471e+03 -4.39702e+03  1.23420e+03  1.37904e+09
47  10  5.65497e+01  0.00000e+00 -4.38160e+03 -4.39980e+03  1.23416e+03  1.40902e+09
48  11  4.46821e+01  0.00000e+00 -4.38559e+03 -4.39626e+03  1.23418e+03  1.43900e+09
49   9  3.06897e+01  0.00000e+00 -4.38239e+03 -4.39253e+03  1.25768e+03  1.46898e+09
50  10  4.50859e+01  0.00000e+00 -4.38380e+03 -4.39744e+03  1.23414e+03  1.49896e+09
51  13  1.00080e+02  0.00000e+00 -4.38268e+03 -4.39900e+03  1.23418e+03  1.52894e+09
52  13  1.10284e+02  0.00000e+00 -4.38477e+03 -4.40018e+03  1.23576e+03  1.55892e+09
53   9  6.15007e+01  0.00000e+00 -4.38500e+03 -4.39576e+03  1.23421e+03  1.58890e+09
54  10  5.27448e+01  0.00000e+00 -4.38092e+03 -4.38764e+03  1.27492e+03  1.61888e+09
55  12  1.17873e+02  0.00000e+00 -4.38274e+03 -4.39870e+03  1.23420e+03  1.64886e+09
56  10  3.67174e+01  0.00000e+00 -4.38376e+03 -4.39065e+03  1.27128e+03  1.67884e+09
57  11  5.08725e+01  0.00000e+00 -4.38457e+03 -4.39695e+03  1.23419e+03  1.70881e+09
58  12  8.80904e+01  0.00000e+00 -4.38291e+03 -4.39756e+03  1.23416e+03  1.73879e+09
59   9  3.87715e+01  0.00000e+00 -4.38499e+03 -4.38631e+03  1.25322e+03  1.76877e+09
60  11  9.33775e+01  0.00000e+00 -4.38442e+03 -4.39745e+03  1.23418e+03  1.79875e+09
61  12  1.05404e+02  0.00000e+00 -4.38368e+03 -4.39914e+03  1.23419e+03  1.82873e+09
62  10  6.04288e+01  0.00000e+00 -4.38440e+03 -4.39696e+03  1.23415e+03  1.85871e+09
63   9  3.48620e+01  0.00000e+00 -4.38203e+03 -4.39019e+03  1.28291e+03  1.88869e+09
64  10  1.09213e+02  0.00000e+00 -4.38558e+03 -4.39715e+03  1.23419e+03  1.91867e+09
65   9  7.54499e+01  0.00000e+00 -4.38335e+03 -4.39602e+03  1.23421e+03  1.94865e+09
66  12  7.73486e+01  0.00000e+00 -4.38304e+03 -4.39848e+03  1.23419e+03  1.97863e+09
67  12  7.67249e+01  0.00000e+00 -4.38390e+03 -4.39706e+03  1.23422e+03  2.00861e+09
68  11  4.90782e+01  0.00000e+00 -4.38095e+03 -4.39194e+03  1.28299e+03  2.03859e+09
69  10  4.85971e+01  0.00000e+00 -4.38393e+03 -4.39727e+03  1.23424e+03  2.06857e+09
70  10  7.54887e+01  0.00000e+00 -4.38408e+03 -4.39893e+03  1.23424e+03  2.09855e+09
71  11  7.79977e+01  0.00000e+00 -4.38155e+03 -4.39189e+03  1.26436e+03  2.12852e+09
72  12  8.51688e+01  0.00000e+00 -4.38316e+03 -4.39823e+03  1.23418e+03  2.15850e+09
73  11  8.39322e+01  0.00000e+00 -4.38393e+03 -4.39929e+03  1.23432e+03  2.18848e+09
74  13  1.05341e+02  0.00000e+00 -4.38320e+03 -4.39963e+03  1.23417e+03  2.21846e+09
75   9  3.20075e+01  0.00000e+00 -4.38294e+03 -4.39317e+03  1.29397e+03  2.24844e+09
76  10  6.99188e+01  0.00000e+00 -4.38676e+03 -4.40478e+03  1.25058e+03  2.27842e+09
77  11  1.01109e+02  0.00000e+00 -4.38338e+03 -4.39892e+03  1.23421e+03  2.30840e+09
78  11  8.18660e+01  0.00000e+00 -4.38449e+03 -4.39653e+03  1.23420e+03  2.33838e+09
79   8  6.94618e+01  0.00000e+00 -4.38265e+03 -4.39890e+03  1.23420e+03  2.36836e+09
80  12  9.86513e+01  0.00000e+00 -4.38293e+03 -4.39909e+03  1.23423e+03  2.39834e+09
81   7  3.07613e+01  0.00000e+00 -4.38209e+03 -4.39369e+03  1.31285e+03  2.42832e+09
82  11  1.10898e+02  0.00000e+00 -4.38304e+03 -4.39851e+03  1.23420e+03  2.45830e+09
83  13  9.19613e+01  0.00000e+00 -4.38464e+03 -4.39833e+03  1.23437e+03  2.48828e+09
84  10  6.94038e+01  0.00000e+00 -4.38353e+03 -4.39738e+03  1.23420e+03  2.51825e+09
85  11  6.00866e+01  0.00000e+00 -4.38453e+03 -4.39658e+03  1.23430e+03  2.54823e+09
86  11  7.63220e+01  0.00000e+00 -4.39018e+03 -4.41135e+03  1.24180e+03  2.57821e+09
87   9  3.91571e+01  0.00000e+00 -4.38876e+03 -4.40603e+03  1.24243e+03  2.60819e+09
88   9  3.52921e+01  0.00000e+00 -4.38422e+03 -4.39154e+03  1.14174e+03  2.63817e+09
89  10  4.05791e+01  0.00000e+00 -4.38397e+03 -4.39170e+03  1.14925e+03  2.66815e+09
90   9  4.87014e+01  0.00000e+00 -4.38338e+03 -4.39124e+03  1.25092e+03  2.69813e+09
91  11  8.14386e+01  0.00000e+00 -4.38314e+03 -4.39702e+03  1.23421e+03  2.72811e+09
92  11  6.25826e+01  0.00000e+00 -4.38438e+03 -4.39743e+03  1.23430e+03  2.75809e+09
93   7  7.09939e+01  0.00000e+00 -4.38361e+03 -4.39782e+03  1.23423e+03  2.78807e+09
94  12  7.62196e+01  0.00000e+00 -4.38471e+03 -4.39760e+03  1.23424e+03  2.81805e+09
95  11  7.15764e+01  0.00000e+00 -4.38394e+03 -4.39662e+03  1.23421e+03  2.84803e+09
96  12  1.06416e+02  0.00000e+00 -4.38338e+03 -4.39779e+03  1.23423e+03  2.87801e+09
97  11  9.59412e+01  0.00000e+00 -4.38405e+03 -4.39795e+03  1.23424e+03  2.90799e+09
98  10  5.66187e+01  0.00000e+00 -4.38261e+03 -4.39781e+03  1.23422e+03  2.93796e+09
99  10  7.86797e+01  0.00000e+00 -4.38760e+03 -4.41055e+03  1.24293e+03  2.96794e+09
100  11  6.52306e+01  0.00000e+00 -4.38386e+03 -4.39653e+03  1.23423e+03  2.99792e+09
101  11  1.03375e+02  0.00000e+00 -4.38836e+03 -4.40965e+03  1.24184e+03  3.02790e+09
102  12  1.01532e+02  0.00000e+00 -4.38294e+03 -4.39938e+03  1.23426e+03  3.05788e+09
103  12  6.00589e+01  0.00000e+00 -4.38447e+03 -4.39720e+03  1.23422e+03  3.08786e+09
104  10  5.69580e+01  0.00000e+00 -4.38345e+03 -4.39786e+03  1.23423e+03  3.11784e+09
105  10  7.46156e+01  0.00000e+00 -4.38283e+03 -4.38899e+03  1.26473e+03  3.14782e+09
106  12  9.08954e+01  0.00000e+00 -4.38349e+03 -4.39918e+03  1.24389e+03  3.17780e+09
107  11  6.99980e+01  0.00000e+00 -4.38394e+03 -4.39621e+03  1.24650e+03  3.20778e+09
108  11  7.53574e+01  0.00000e+00 -4.39263e+03 -4.41769e+03  1.24252e+03  3.23776e+09
109  10  6.80167e+01  0.00000e+00 -4.38320e+03 -4.39852e+03  1.23420e+03  3.26774e+09
110  12  9.90261e+01  0.00000e+00 -4.38506e+03 -4.39858e+03  1.23423e+03  3.29772e+09
111  12  9.59764e+01  0.00000e+00 -4.38417e+03 -4.40024e+03  1.23436e+03  3.32769e+09
112  12  6.57690e+01  0.00000e+00 -4.38268e+03 -4.39955e+03  1.23421e+03  3.35767e+09
113  11  4.42978e+01  0.00000e+00 -4.38400e+03 -4.39330e+03  1.23590e+03  3.38765e+09
114   9  4.45931e+01  0.00000e+00 -4.38455e+03 -4.39849e+03  1.23433e+03  3.41763e+09
115  11  3.74114e+01  0.00000e+00 -4.38361e+03 -4.39828e+03  1.23421e+03  3.44761e+09
116  11  5.82721e+01  0.00000e+00 -4.38386e+03 -4.39701e+03  1.23422e+03  3.47759e+09
117  12  4.19970e+01  0.00000e+00 -4.38408e+03 -4.39809e+03  1.23419e+03  3.50757e+09
118  11  9.26988e+01  0.00000e+00 -4.38119e+03 -4.39332e+03  1.25502e+03  3.53755e+09
119  11  4.15804e+01  0.00000e+00 -4.38433e+03 -4.39784e+03  1.23422e+03  3.56753e+09
120  10  6.32599e+01  0.00000e+00 -4.38433e+03 -4.39712e+03  1.23427e+03  3.59751e+09
121  10  8.05856e+01  0.00000e+00 -4.38395e+03 -4.39959e+03  1.23441e+03  3.62749e+09
122  10  6.04908e+01  0.00000e+00 -4.38324e+03 -4.39748e+03  1.23426e+03  3.65747e+09
123  13  1.04138e+02  0.00000e+00 -4.38457e+03 -4.39778e+03  1.23425e+03  3.68745e+09
124  12  5.22815e+01  0.00000e+00 -4.38378e+03 -4.39764e+03  1.23427e+03  3.71742e+09
125  10  3.66736e+01  0.00000e+00 -4.38510e+03 -4.39744e+03  1.23429e+03  3.74740e+09
126  12  1.33232e+02  0.00000e+00 -4.38285e+03 -4.40024e+03  1.23424e+03  3.77738e+09
127   8  1.23198e+01  0.00000e+00 -4.38819e+03 -4.40653e+03  1.31676e+03  3.80736e+09
128  10  6.83963e+01  0.00000e+00 -4.38326e+03 -4.39810e+03  1.23422e+03  3.83734e+09
129   8  3.24157e+01  0.00000e+00 -4.38609e+03 -4.39242e+03  1.17080e+03  3.86732e+09
130  10  7.32194e+01  0.00000e+00 -4.38283e+03 -4.39842e+03  1.23420e+03  3.89730e+09
131  11  7.95154e+01  0.00000e+00 -4.38442e+03 -4.39744e+03  1.23422e+03  3.92728e+09
132  13  1.20375e+02  0.00000e+00 -4.38338e+03 -4.39890e+03  1.23424e+03  3.95726e+09
